frame,image,acq_us,submit_us,present_us
0,0,332,150,80
1,1,168,161,64
2,2,381,171,75
3,3,185,88,34
4,0,246,114,44
5,1,19196,90,40
6,2,19977,80,42
7,3,16103,97,49
8,0,41028,176,76
9,1,7228,94,52
10,2,17023,207,85
11,3,15495,106,44
12,0,17072,102,84
13,1,15815,159,55
14,2,16018,144,65
15,3,16600,156,63
16,0,16211,168,74
17,1,16216,139,52
18,2,16718,124,62
19,3,16370,109,49
20,0,16399,124,55
21,1,16436,125,50
22,2,16447,110,50
23,3,16057,111,42
24,0,16513,88,40
25,1,16512,124,39
26,2,16328,100,55
27,3,16584,105,50
28,0,16506,111,41
29,1,16496,117,47
30,2,16220,90,43
31,3,16557,121,55
32,0,16540,123,46
33,1,16222,119,48
34,2,16727,99,47
35,3,16681,79,46
36,0,16131,87,47
37,1,16551,85,50
38,2,16435,91,58
39,3,16283,85,50
40,0,16614,93,48
41,1,16473,86,61
42,2,16186,84,52
43,3,16733,86,50
44,0,16057,120,50
45,1,16504,85,52
46,2,16373,91,66
47,3,16651,97,49
48,0,16306,89,52
49,1,16417,117,51
50,2,16346,104,51
51,3,16509,89,52
52,0,16309,88,49
53,1,16430,121,64
54,2,16482,108,73
55,3,16497,112,67
56,0,16245,103,70
57,1,16452,107,51
58,2,16248,118,91
59,3,16509,108,68
60,0,16177,88,52
61,1,16193,101,53
62,2,16464,98,54
63,3,16480,94,55
64,0,16167,93,55
65,1,16759,118,67
66,2,16086,141,61
67,3,49144,92,71
68,0,2607,98,53
69,1,31477,89,57
70,2,15703,169,106
71,3,16083,144,63
72,0,16192,117,70
73,1,16318,103,69
74,2,16286,97,69
75,3,16736,121,57
76,0,15994,120,68
77,1,16333,138,85
78,2,16486,146,130
79,3,16004,166,108
80,0,16128,119,93
81,1,16595,129,69
82,2,16276,126,63
83,3,15994,132,60
84,0,16373,145,68
85,1,16271,127,69
86,2,16276,119,63
87,3,18076,173,77
88,0,14846,119,76
89,1,16326,115,75
90,2,16115,127,65
91,3,16165,122,77
92,0,16406,103,74
93,1,16418,104,60
94,2,16368,92,55
95,3,16264,108,58
96,0,16476,95,58
97,1,16494,126,58
98,2,16229,107,57
99,3,16687,143,66
100,0,16281,102,63
101,1,16107,117,64
102,2,16467,121,64
103,3,16355,112,66
104,0,16119,129,65
105,1,16620,123,84
106,2,16051,184,125
107,3,16209,144,83
108,0,16233,138,75
109,1,16130,143,97
110,2,16434,123,77
111,3,18016,129,62
112,0,16348,95,56
113,1,16508,93,58
114,2,16411,95,58
115,3,16281,95,60
116,0,16507,106,58
117,1,16674,135,82
118,2,16040,93,80
119,3,16292,95,57
120,0,16227,95,57
121,1,16325,110,61
122,2,16426,114,59
123,3,16418,119,74
124,0,16200,117,72
125,1,48659,92,56
126,2,1806,98,55
127,3,32618,115,74
128,0,15797,122,56
129,1,16455,95,56
130,2,16489,95,56
131,3,16100,114,55
132,0,16300,88,53
133,1,16754,118,73
134,2,16083,111,58
135,3,16456,122,75
136,0,16435,96,60
137,1,16167,95,57
138,2,16563,100,55
139,3,16477,125,72
140,0,16166,110,56
141,1,16388,99,57
142,2,16365,150,60
143,3,16242,93,55
144,0,16497,101,57
145,1,16547,93,58
146,2,16610,90,57
147,3,15905,195,58
148,0,16301,213,56
149,1,16125,251,74
150,2,16341,192,58
151,3,16193,183,251
152,0,16486,96,77
153,1,16520,93,55
154,2,16123,92,57
155,3,16445,93,56
156,0,16410,92,56
157,1,15954,284,133
158,2,16446,94,56
159,3,16554,92,58
160,0,16353,93,56
161,1,16368,92,55
162,2,16071,257,58
163,3,16006,120,56
164,0,16708,197,57
165,1,16232,201,59
166,2,16084,161,58
167,3,16348,199,58
168,0,15946,108,73
169,1,16327,123,67
170,2,18298,109,58
171,3,16798,95,59
172,0,16000,95,57
173,1,16377,91,57
174,2,16281,98,57
175,3,16465,92,56
176,0,16611,109,58
177,1,16405,92,56
178,2,16269,93,56
179,3,16454,91,58
180,0,16113,106,58
181,1,16485,99,56
182,2,16701,108,57
183,3,47898,96,57
184,0,2496,93,53
185,1,32132,94,56
186,2,16611,95,59
187,3,16131,104,57
188,0,16249,95,56
189,1,16710,94,57
190,2,16196,106,58
191,3,16630,118,79
192,0,16867,120,76
193,1,15326,118,89
194,2,16290,112,79
195,3,16533,120,79
196,0,16070,113,74
197,1,16301,118,78
198,2,16864,116,57
199,3,16119,117,80
200,0,16215,126,64
201,1,16427,122,80
202,2,16256,137,81
203,3,16741,135,76
204,0,16429,111,59
205,1,15637,124,67
206,2,16503,119,83
207,3,16363,122,77
208,0,16300,134,83
209,1,16289,121,81
210,2,16484,124,58
211,3,16373,95,57
212,0,16112,112,59
213,1,16390,104,59
214,2,16133,125,56
215,3,16519,106,59
216,0,16508,105,73
217,1,16431,95,60
218,2,16053,128,60
219,3,16435,104,58
220,0,16337,128,62
221,1,16391,98,59
222,2,16949,121,82
223,3,15995,113,59
224,0,16280,96,59
225,1,16199,94,59
226,2,16407,115,57
227,3,16510,122,79
228,0,16562,97,60
229,1,16202,110,58
230,2,16352,95,58
231,3,16501,123,70
232,0,16098,122,96
233,1,16431,121,81
234,2,16703,95,60
235,3,16160,96,59
236,0,16306,95,59
237,1,16231,95,59
238,2,16325,95,58
239,3,16610,122,83
240,0,16809,99,58
241,1,49915,96,61
242,2,2615,100,55
243,3,29925,99,64
244,0,14803,160,74
245,1,15767,124,61
